 |Protalix BioTherapeutics|Buy|8 Jun|391|100|$3.91 |
 |Protalix BioTherapeutics|Sell|9 Oct|1137.01|299|$3.80 |
 |Provention Bio|Buy|15 Jul|1264.77|100|$12.65 |
 |Provention Bio|Buy|21 Sep|2098.07|150|$13.99 |
 |Provention Bio|Buy|22 Sep|642.23|50|$12.84 |
 |Provention Bio|Buy|23 Jul|1670.99|150|$11.14 |
 |Provention Bio| Buy |2 Jul|1430|100|$14.30 |
 |Provention Bio|Buy|9 Sep|640.5|50|$12.81 |
 |Provention Bio|Sell|25 Aug|4032.03|300|$13.44 |
 |Provention Bio|Sell|9 Oct|4495.97|299|$15.04 |
 |Qualcomm|Sell|17 Jul|2305.75|25|$92.23 |
 |Qualcomm|Sell|21 Aug|556.75|5|$111.35 |
 |Qualcomm|Sell|24 Jun|2232|25|$89.28 |
 |Qualcomm|Sell|3 Aug|2192.2|20|$109.61 |
 |Rackspace Technology|Buy|16 Nov|795|50|$15.90 |
 |Rackspace Technology|Buy|16 Sep|906|50|$18.12 |
 |Rackspace Technology|Buy|17 Aug|967|50|$19.34 |
 |Rackspace Technology|Buy|20 Aug|889.5|50|$17.79 |
 |Rackspace Technology|Sell|4 Sep|1882.98|99|$19.02 |
 |Revance Therapeutics|Sell|10 Aug|254|10|$25.40 |
 |Revance Therapeutics|Sell|7 Aug|2592.01|100|$25.92 |
 |Rigel Pharmaceuticals|Buy|9 Jul|943.8|500|$1.89 |
 |Rigel Pharmaceuticals|Sell|13 Jul|519.33|258|$2.01 |
 |Rigel Pharmaceuticals|Sell|2 Oct|571.63|242|$2.36 |
 |Rimini Street|Buy|16 Sep|178.37|47|$3.80 |
 |Rimini Street|Buy|7 Oct|485.99|150|$3.24 |
 |Rimini Street|Sell|27 Oct|703.43|199|$3.53 |
 |Rockwell Medical|Buy|19 Jul|20.5|10|$2.05 |
 |Rockwell Medical|Buy|23 Sep|609.95|500|$1.22 |
 |Rockwell Medical|Buy|24 Aug|461.97|300|$1.54 |
 |Rockwell Medical|Buy|2 Sep|247.96|200|$1.24 |
 |Salesforce|Sell|24 Jul|942.05|5|$188.41 |
 |Salesforce|Sell|8 Jun|3461.71|20|$173.09 |
 |Selecta Biosciences| Buy |12 Jun|661.5|245|$2.70 |
 |Selecta Biosciences|Buy|12 Jun|727.5|250|$2.91 |
 |Selecta Biosciences|Buy|17 Jun|1295|500|$2.59 |
 |Selecta Biosciences|Buy|23 Jun|300.87|100|$3.01 |
 |Selecta Biosciences|Buy|23 Jun|449.1|155|$2.90 |
 |Selecta Biosciences|Sell|18 Jun|1201.2|400|$3.00 |
 |Selecta Biosciences|Sell|27 Nov|1704.09|499|$3.42 |
 |Slack|Sell|8 Jun|154.12|5|$30.82 |
 |Sorrento Therapeutics|Buy|11 Aug|1755|100|$17.55 |
 |Sorrento Therapeutics|Buy|12 Aug|1241|100|$12.41 |
 |Sorrento Therapeutics|Sell|10 Jun|1582.46|350|$4.52 |
 |Sorrento Therapeutics|Sell|9 Oct|2254.22|200|$11.27 |
 |Spartan Energy Acquisition|Buy|16 Jul|695|50|$13.90 |
 |Spartan Energy Acquisition|Buy|26 Oct|499.75|50|$10.00 |
 |SPDR S&P 500 ETF|Buy|21 Sep|1616.49|5|$323.30 |
 |SPDR S&P 500 ETF|Sell|9 Oct|1731.8|5|$346.36 |
 |Spero Therapeutics|Buy|11 Sep|249|25|$9.96 |
 |Spero Therapeutics|Buy|12 Jun|1190.99|100|$11.91 |
 |Spero Therapeutics|Buy|15 Sep|1006.07|100|$10.06 |
 |Spero Therapeutics|Buy|24 Nov|3108.94|200|$15.54 |
 |Spero Therapeutics|Buy|27 Aug|2181.56|225|$9.70 |
 |Spero Therapeutics|Buy|8 Jun|2706|200|$13.53 |
 |Spero Therapeutics|Sell|16 Jul|1034|80|$12.93 |
 |Spero Therapeutics|Sell|7 Oct|1956.36|150|$13.04 |
 |Spero Therapeutics|Sell|8 Sep|3595.23|275|$13.07 |
 |Spero Therapeutics|Sell|9 Oct|1979.55|149|$13.29 |
 |Spirit Airlines| Buy |24 Jul|1318.4|80|$16.48 |
 |Spirit Airlines| Buy |31 Jul|1262.11|80|$15.78 |
 |Sunnova Energy| Buy |21 Aug|714|30|$23.80 |
 |Sunnova Energy|Buy|30 Nov|204.45|5|$40.89 |
 |Sunnova Energy|Sell|2 Oct|950.77|30|$31.69 |
 |Synlogic|Buy|11 Aug|498|200|$2.49 |
 |Synlogic|Buy|29 Oct|385.96|200|$1.93 |
 |Taiwan Liposome|Buy|23 Sep|941.86|200|$4.71 |
 |TELA Bio| Buy |28 Jun|1300|100|$13.00 |
 |TELA Bio|Buy|29 Jun|639|50|$12.78 |
 |TELA Bio|Sell|13 Aug|2104.52|150|$14.03 |
 |Tennant|Sell|10 Aug|1055.25|15|$70.35 |
 |Tennant|Sell|10 Aug|710.7|10|$71.07 |
 |TG Therapeutics|Buy|24 Jun|3665.32|200|$18.33 |
 |TG Therapeutics| Sell |7 Jul|4522|200|$22.61 |
 |TherapeuticsMD|Buy|18 Aug|850.8|499|$1.71 |
 |TherapeuticsMD|Buy|18 Nov|649.3|500|$1.30 |
 |TherapeuticsMD|Buy|29 Jun|593.81|499|$1.19 |
 |Tiziana Life Sciences|Buy|21 Sep|539.93|150|$3.60 |
 |Tiziana Life Sciences|Sell|9 Oct|703.5|150|$4.69 |
 |Tortoise Acquisition| Buy |24 Jul|894.5|50|$17.89 |
 |Tortoise Acquisition|Buy|7 Jul|1177.5|50|$23.55 |
 |Tortoise Acquisition|Sell|13 Aug|2362.5|100|$23.63 |
 |Trillium Therapeutics|Buy|9 Sep|1309|100|$13.09 |
 |Trillium Therapeutics|Sell|17 Nov|1676.74|100|$16.77 |
 |Two Harbors Investment|Buy|8 Jun|584.99|100|$5.85 |
 |Two Harbors Investment|Buy|8 Jun|590.74|100|$5.91 |
 |Two Harbors Investment|Sell|5 Aug|1082.52|200|$5.41 |
 |Tyson Foods|Buy|26 Oct|1430.73|25|$57.23 |
 |Uber|Buy|24 Jun|1377.8|45|$30.62 |
 |Uber|Sell|9 Oct|1870.09|50|$37.40 |
 |uniQure|Buy|21 Jul|1077.75|25|$43.11 |
 |uniQure|Sell|11 Aug|1027.75|25|$41.11 |
 |United Airlines|Buy|8 Jun|688.2|15|$45.88 |
 |Urovant Sciences|Buy|10 Nov|1595.98|200|$7.98 |
 |Urovant Sciences|Buy|16 Jul|1696.82|200|$8.48 |
 |Urovant Sciences|Buy|19 Jun|1109.49|100|$11.09 |
 |Urovant Sciences|Buy|22 Jun|1032|100|$10.32 |
 |Urovant Sciences|Sell|10 Sep|1860|200|$9.30 |
 |Urovant Sciences|Sell|13 Nov|6410|400|$16.03 |
 |VBI Vaccines|Buy|10 Aug|418.8|100|$4.19 |
 |VBI Vaccines| Buy |12 Aug|384.98|110|$3.50 |
 |VBI Vaccines|Buy|28 Oct|955.4|400|$2.39 |
 |VBI Vaccines| Buy |7 Jul|33.7|10|$3.37 |
 |VBI Vaccines|Buy|8 Jul|747.74|200|$3.74 |
 |Verastem|Buy|16 Jul|689.35|500|$1.38 |
 |Verastem|Buy|28 Aug|654.35|500|$1.31 |
 |Verastem|Buy|8 Jul|1518.7|1000|$1.52 |
 |Verastem|Sell|1 Dec|1026.05|500|$2.05 |
 |Workhorse| Buy |1 Dec|543.75|25|$21.75 |
 |Workhorse|Buy|24 Sep|223.9|10|$22.39 |
 |Workhorse|Sell|7 Oct|216.77|9|$24.09 |
 |Zosano Pharma|Buy|27 Oct|200|500|$0.40 |
 |Zosano Pharma|Buy|28 Oct|189.55|500|$0.3791 |
 |Zosano Pharma|Buy|3 Sep|694.1|500|$1.39 |
 |Zosano Pharma|Sell|15 Sep|840.7|500|$1.68 |
 |Zosano Pharma|Sell|16 Sep|887.35|500|$1.77 |
