 |Aquestive Therapeutics|Buy|29 Oct 2020|1,037.16 |200|$5.19 |
 |Aquestive Therapeutics|Buy|3 Jul|244.50 |50|$4.89 |
 |Aquestive Therapeutics| Buy |4 Aug|861.00 |150|$5.74 |
 |Aquestive Therapeutics|Sell|12 Nov 2020|632.13 |100|$6.32 |
 |Aquestive Therapeutics|Sell|12 Nov|632.13 |100|$6.32 |
 |Aquestive Therapeutics|Sell|15 Sep 2020|833.15 |100|$8.33 |
 |Aquestive Therapeutics|Sell|15 Sep|833.15 |100|$8.33 |
 |Aquestive Therapeutics|Sell|23 Sep 2020|402.26 |50|$8.05 |
 |Aquestive Therapeutics|Sell|23 Sep|402.26 |50|$8.05 |
 |Aquestive Therapeutics|Sell|9 Sep|1,617.06 |200|$8.09 |
 |Arbutus Biopharma|Buy|23 Jul|725.00 |100|$7.25 |
 |Arbutus Biopharma|Buy|24 Jul|1,225.76 |200|$6.13 |
 |Arbutus Biopharma| Buy |4 Aug|2,231.88 |600|$3.72 |
 |Arbutus Biopharma|Sell|5 Aug|1,899.00 |450|$4.22 |
 |Arbutus Biopharma|Sell|9 Oct|1,437.75 |450|$3.20 |
 |Arbutus Biopharma|Sell|9 Oct 2020|1,437.75 |450|$3.20 |
 |ARK Innovation ETF|Buy|8 Jan|1,427.70 |10|$142.77 |
 |Armata Pharmaceuticals|Buy|16 Nov 2020|644.64 |200|$3.22 |
 |Armata Pharmaceuticals|Buy|16 Nov|644.64 |200|$3.22 |
 |Armata Pharmaceuticals|Buy|9 Sep|317.48 |100|$3.17 |
 |AstraZeneca| Buy |17 Jul|6,250.00 |100|$62.50 |
 |AstraZeneca|Sell|31 Dec 2020|2,475.25 |50|$49.51 |
 |Aurinia Pharmaceuticals|Buy|22 Jan|384.50 |25|$15.38 |
 |Axogen|Sell|2 Oct 2020|567.50 |50|$11.35 |
 |Axogen|Sell|2 Oct|567.50 |50|$11.35 |
 |Axogen|Sell|7 Oct 2020|609.55 |50|$12.19 |
 |Axogen|Sell|7 Oct|609.55 |50|$12.19 |
 |Axsome Therapeutics| Buy |14 Jan|1,197.30 |15|$79.82 |
 |AzurRx BioPharma|Buy|15h|461.70 |275|$1.68 |
 |AzurRx BioPharma|Buy|26 Jan|49.88 |25|$2.00 |
 |Ballard Power Systems|Buy|21 Oct 2020|400.75 |25|$16.03 |
 |Ballard Power Systems|Buy|21 Oct|400.75 |25|$16.03 |
 |Ballard Power Systems|Sell|7 Dec 2020|489.25 |25|$19.57 |
 |Bank of America|Sell|10 Jun|1,913.29 |70|$27.33 |
 |Bank of America|Sell|18 Aug|127.61 |5|$25.52 |
 |Big Commerce| Buy |18 Sep|1,493.69 |20|$74.68 |
 |Big Commerce| Buy |18 Sep 2020|1,493.69 |20|$74.68 |
 |Big Commerce|Buy|30 Oct 2020|2,115.61 |29|$72.95 |
 |Big Commerce|Buy|30 Oct|2,115.61 |29|$72.95 |
 |Big Commerce|Buy|31 Aug|589.13 |5|$117.83 |
 |Big Commerce|Sell|7 Dec 2020|2,491.28 |30|$83.04 |
 |Big Commerce|Sell|7 Oct 2020|2,328.24 |24|$97.01 |
 |Big Commerce|Sell|7 Oct|2,328.24 |24|$97.01 |
 |BioCardia|Buy|18 Dec 2020|373.89 |100|$3.74 |
 |Biocept|Buy|18 Dec 2020|994.00 |200|$4.97 |
 |Biocept|Buy|5 Aug|443.00 |500|$0.886 |
 |Biocept| Buy |7 Oct 2020|889.20 |180|$4.94 |
 |Biocept| Buy |7 Oct|889.20 |180|$4.94 |
 |Biocept|Buy|8 Jul|300.00 |400|$0.75 |
 |BioLineRx|Buy|21 Jan|497.00 |200|$2.49 |
 |Bionano Genomics|Buy|12 Jan|1,091.98 |200|$5.46 |
 |BioXcel Therapeutics|Buy|14 Aug|3,918.46 |100|$39.18 |
 |BioXcel Therapeutics|Buy|15 Jan|2,572.00 |50|$51.44 |
 |BioXcel Therapeutics|Buy|19 Jan|1,212.13 |25|$48.49 |
 |BioXcel Therapeutics|Buy|19 Jan|1,229.32 |25|$49.17 |
 |BioXcel Therapeutics|Buy|19 Nov 2020|489.80 |10|$48.98 |
 |BioXcel Therapeutics|Buy|19 Nov|489.80 |10|$48.98 |
 |BioXcel Therapeutics|Buy|1 Dec 2020|2,146.72 |50|$42.93 |
 |BioXcel Therapeutics|Buy|1 Dec|2,146.72 |50|$42.93 |
 |BioXcel Therapeutics|Buy|22 Sep 2020|4,179.99 |100|$41.80 |
 |BioXcel Therapeutics|Buy|22 Sep|4,179.99 |100|$41.80 |
 |BioXcel Therapeutics|Buy|23 Nov 2020|924.80 |20|$46.24 |
 |BioXcel Therapeutics|Buy|23 Nov|924.80 |20|$46.24 |
 |BioXcel Therapeutics|Buy|28 Oct 2020|448.89 |10|$44.89 |
 |BioXcel Therapeutics|Buy|28 Oct|448.89 |10|$44.89 |
 |BioXcel Therapeutics|Buy|31 Jul|1,797.60 |40|$44.94 |
 |BioXcel Therapeutics|Buy|3 Aug|915.10 |20|$45.76 |
 |BioXcel Therapeutics|Sell|16 Sep 2020|5,970.60 |124|$48.15 |
 |BioXcel Therapeutics|Sell|16 Sep|5,970.60 |124|$48.15 |
 |BioXcel Therapeutics|Sell|3 Dec 2020|2,273.44 |50|$45.47 |
 |BioXcel Therapeutics|Sell|7 Dec 2020|2,325.51 |50|$46.51 |
 |BioXcel Therapeutics|Sell|7 Oct 2020|5,806.51 |115|$50.49 |
 |BioXcel Therapeutics|Sell|7 Oct|5,806.51 |115|$50.49 |
 |Boeing|Sell|21 Aug|1,690.40 |10|$169.04 |
 |Boyd Gaming|Sell|22 Jul|111.95 |5|$22.39 |
 |Caesars Entertainment|Sell|24 Jul|863.38 |25|$34.54 |
 |Cardiff Oncology|Buy|14 Jan|985.78 |50|$19.72 |
 |Cardiff Oncology|Buy|15 Jan|1,361.50 |100|$13.62 |
 |Cardiff Oncology| Buy |15 Jan|680.00 |50|$13.60 |
 |Cardiff Oncology| Buy |15 Jan|688.95 |45|$15.31 |
 |Cardiff Oncology|Buy|19 Jan|1,179.50 |100|$11.80 |
 |Cardiff Oncology|Buy|27 Dec 2020|96.05 |5|$19.21 |
 |Ceragon Networks|Buy|15h|479.50 |100|$4.80 |
 |Checkpoint Therapeutics| Buy |16 Jul|449.95 |250|$1.80 |
 |Checkpoint Therapeutics|Buy|22 Sep|154.75 |50|$3.10 |
 |Checkpoint Therapeutics|Buy|22 Sep 2020|154.75 |50|$3.10 |
 |Chembio|Buy|14 Jul|565.50 |100|$5.66 |
 |Chembio| Buy |15 Jul|510.00 |100|$5.10 |
 |Chembio|Sell|21 Jul|1,046.00 |200|$5.23 |
 |ChromaDex|Buy|18 Aug|514.99 |100|$5.15 |
 |ChromaDex|Sell|7 Dec 2020|501.25 |100|$5.01 |
 |CIIG Merger|Buy|1 Dec|1,012.85 |50|$20.26 |
 |CIIG Merger|Buy|1 Dec 2020|1,012.85 |50|$20.26 |
 |CIIG Merger|Buy|30 Nov 2020|543.16 |25|$21.73 |
 |CIIG Merger|Buy|30 Nov 2020|581.50 |25|$23.26 |
 |CIIG Merger|Buy|30 Nov|543.16 |25|$21.73 |
 |CIIG Merger|Buy|30 Nov|581.50 |25|$23.26 |
 |CIIG Merger|Sell|4 Dec 2020|703.22 |25|$28.13 |
 |CleanSpark|Buy|15 Jan|467.20 |15|$31.15 |
 |CleanSpark| Buy |21 Jan|502.00 |20|$25.10 |
 |Cloudera|Sell|10 Jun|5,807.10 |500|$11.61 |
 |Cloudera|Sell|15h|4,224.00 |300|$14.08 |
 |Cloudera|Sell|21 Jul|5,836.20 |500|$11.67 |
 |Cloudera|Sell|24 Jul|2,967.57 |258|$11.50 |
 |Cloudera|Sell|7 Dec 2020|2,968.08 |249|$11.92 |
 |Cocrystal Pharma| Buy |13 Nov 2020|217.50 |250|$0.87 |
 |Cocrystal Pharma| Buy |13 Nov|217.50 |250|$0.87 |
 |Cocrystal Pharma| Buy |1 Dec|143.00 |100|$1.43 |
 |Cocrystal Pharma|Buy|1 Dec|162.86 |100|$1.63 |
 |Cocrystal Pharma| Buy |1 Dec 2020|143.00 |100|$1.43 |
 |Cocrystal Pharma|Buy|1 Dec 2020|162.86 |100|$1.63 |
 |Cocrystal Pharma|Sell|7 Dec 2020|730.58 |450|$1.62 |
 |Collective Growth|Buy|15h|642.75 |50|$12.86 |
 |Collective Growth| Buy |6 Jan|1,368.00 |100|$13.68 |
 |Collective Growth| Buy |6 Jan|1,387.00 |100|$13.87 |
 |ContextLogic|Buy|15 Jan|639.38 |25|$25.58 |
 |Corelogic|Buy|22 Jul|1,710.75 |25|$68.43 |
 |Corelogic|Sell|23 Jul|1,709.61 |25|$68.38 |
 |Corsair Gaming|Buy|21 Jan|543.75 |15|$36.25 |
 |Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETNs due July 11; 2036|Buy|10 Jun|805.00 |200|$4.03 |
 |Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETNs due July 11; 2036|Buy|8 Jun|968.00 |200|$4.84 |
 |Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETNs due July 11; 2036|Sell|18 Aug|1,622.00 |400|$4.06 |
 |Cyclacel Pharmaceuticals| Buy |16 Jul|673.50 |150|$4.49 |
 |Cyclacel Pharmaceuticals|Buy|26 Oct 2020|507.75 |150|$3.39 |
 |Cyclacel Pharmaceuticals|Buy|26 Oct|507.75 |150|$3.39 |
 |Cyclacel Pharmaceuticals|Sell|7 Dec 2020|1,266.00 |300|$4.22 |
 |Cytosorbents|Buy|27 Aug|1,024.18 |125|$8.19 |
 |Cytosorbents|Sell|16 Sep 2020|2,103.75 |250|$8.42 |
 |Cytosorbents|Sell|16 Sep|2,103.75 |250|$8.42 |
 |Delta Air Lines|Buy|12 Jul|679.50 |25|$27.18 |
 |Delta Air Lines|Buy|26 Oct 2020|794.25 |25|$31.77 |
 |Delta Air Lines|Buy|26 Oct|794.25 |25|$31.77 |
 |Delta Air Lines|Sell|7 Dec 2020|2,105.25 |50|$42.11 |
 |Denny's|Buy|9 Jul|858.89 |100|$8.59 |
 |Denny's|Sell|23 Jul|883.01 |100|$8.83 |
 |Direxion Daily Aerospace & Defense Bull ETF|Buy|15 Jun|980.63 |75|$13.08 |
 |Direxion Daily Aerospace & Defense Bull ETF|Buy|8 Jun|1,055.40 |50|$21.11 |
 |Direxion Daily Aerospace & Defense Bull ETF|Sell|7 Dec 2020|2,231.26 |125|$17.85 |
 |Dynavax|Buy|10 Aug|1,556.00 |200|$7.78 |
 |Dynavax|Buy|10 Nov 2020|2,090.21 |499|$4.19 |
 |Dynavax|Buy|10 Nov|2,090.21 |499|$4.19 |Older |
 |Dynavax|Buy|17 Jul|574.41 |50|$11.49 |
 |Dynavax|Buy|17 Jun|1,227.74 |200|$6.14 |
 |Dynavax|Buy|1 Sep|1,643.61 |300|$5.48 |
 |Dynavax| Buy |21 Jan|2,555.00 |500|$5.11 |
 |Dynavax|Buy|21 Jul|464.34 |45|$10.32 |
 |Dynavax|Buy|24 Jul|921.99 |100|$9.22 |
 |Dynavax|Sell|27 Nov 2020|2,366.01 |499|$4.74 |
 |Dynavax|Sell|27 Nov|2,366.01 |499|$4.74 |
 |Dynavax|Sell|29 Dec 2020|2,335.87 |499|$4.68 |
 |Dynavax|Sell|29 Jun|1,745.27 |195|$8.95 |
 |Edesa Biotech| Buy |10h|1,535.00 |250|$6.14 |
 |Edesa Biotech|Buy|16 Jul|537.50 |100|$5.38 |
 |Edesa Biotech| Buy |20 Jan|600.00 |100|$6.00 |
 |Edesa Biotech|Buy|20 Jan|618.00 |100|$6.18 |
 |Edesa Biotech|Buy|26 Jun|273.50 |50|$5.47 |
 |Edesa Biotech|Sell|16 Sep 2020|385.95 |50|$7.72 |
 |Edesa Biotech|Sell|16 Sep|385.95 |50|$7.72 |
 |Edesa Biotech|Sell|4 Sep|912.27 |100|$9.12 |
 |Eldorado Resorts|Buy|13 Jul|979.25 |25|$39.17 |
 |Eton Pharmaceuticals|Buy|17 Jun|593.99 |100|$5.94 |
 |Eton Pharmaceuticals|Sell|21 Aug|716.01 |100|$7.16 |
